,ordinate,abscissa
0,478.97278542644744,0
1,474.6797162787049,1
2,484.2380660658908,2
3,479.818780029395,3
4,495.63058070205483,4
5,501.04762350232573,5
6,494.8676731676882,6
7,498.3916252828196,7
8,497.6323282054104,8
9,499.1660118066608,9
10,500.06865551126816,10
11,504.29775095776665,11
12,493.86913282717205,12
13,503.4016245970344,13
14,499.3957060644909,14
15,499.8852976341573,15
16,499.39301835542244,16
17,509.8073784798198,17
18,509.48343830217675,18
19,508.5274245855519,19
20,514.3438914143292,20
21,503.78422876566066,21
22,497.6489188298595,22
23,501.08282481436765,23
24,502.21574786511104,24
25,506.5235615820091,25
26,507.2367556194823,26
27,509.5117920879889,27
28,512.0232512306445,28
29,500.21416141130146,29
30,506.16046373470823,30
31,487.75829210427156,31
32,508.7553039119436,32
33,487.47226052065304,33
34,505.1839710275424,34
35,506.16027410573986,35
36,499.8832188641621,36
37,508.9715624178075,37
38,509.7767317099501,38
39,497.4900234705619,39
40,500.6489240352072,40
41,489.84420781809274,41
42,494.1036471827656,42
43,510.7146649156605,43
44,525.5741876207272,44
45,517.1862212234471,45
46,525.2582042838079,46
47,518.0043530830694,47
48,524.0303017927055,48
49,528.2338524265127,49
50,526.8400995342207,50
51,527.0245755667174,51
52,519.9863682713795,52
53,524.6821427338451,53
54,518.460456235754,54
55,521.0281036923367,55
56,527.1458031373639,56
57,525.5657002750909,57
58,522.7888289707189,58
59,529.4478860838634,59
60,537.7820166728833,60
61,523.8078730557397,61
62,532.9418543288932,62
63,532.0139674631547,63
64,533.224210175318,64
65,545.2075951050249,65
66,540.415709872512,66
67,536.1970814368213,67
68,533.042537632202,68
69,526.5975543712528,69
70,517.2172169019775,70
71,532.6586232946507,71
72,532.1158024737508,72
73,533.1971288793569,73
74,530.9198984244523,74
75,530.5071421617359,75
76,534.1981888937942,76
77,517.6854072912853,77
78,523.4190793131435,78
79,521.8629283795985,79
80,520.8683909439844,80
81,519.8430722417215,81
82,526.2910803076982,82
83,520.4068650667951,83
84,527.1671102376665,84
85,528.4562771001449,85
86,523.1930419747051,86
87,511.16874007310685,87
88,522.3753376730033,88
89,520.2736954630477,89
90,516.1642464349162,90
91,510.92202689801445,91
92,522.941760065955,92
93,516.3614683087421,93
94,517.0117063132378,94
95,542.0870473716332,95
96,479.5092994920929,96
97,483.9038577589569,97
98,528.9153784460923,98
99,524.9875496774853,99
100,526.8501499486413,100
101,533.1738571810141,101
102,543.8184445722009,102
103,546.1101011731029,103
104,558.4304297121035,104
105,557.6945599199759,105
106,555.7059340200879,106
107,552.0599498889043,107
108,552.4682452737825,108
109,555.4326472268143,109
110,554.4863049634198,110
111,551.0853978851301,111
112,546.9789614269312,112
113,532.4952096711983,113
114,522.8612299677867,114
115,527.3478576434708,115
116,533.7174896691329,116
117,531.4903383844796,117
118,525.6362758238404,118
119,536.9503399732266,119
